Employee Name,Employee ID,Applicant Source,Status,CV Submission Date,CV Review,HR Interview Date,HR Interview,Hiring  Date,Manager Interview,Gender,Department,Job Type,Exit Date,Exit Type,Exit Reason,Years of Experience,Salary,Bonus,Last Performance Rating,Promotion Date,Training Hours Completed,Satisfaction Score,Engagement Score,Number of  Leaves
Rebecca Pacheco,25bcffac,Online Application,New hire,06-11-2022,Failed,15-01-2021,Failed,11-10-2022,Failed,Male,Finance,Part-time,,,Retirement,10,94160,15494,1,02-12-2020,7,6,1,5
Jeffrey Nielsen,96bd2216,Agency,Hired,07-11-2021,Failed,19-05-2022,Passed,21-07-2023,Failed,Male,Marketing,Part-time,,Involuntary,Other,16,58124,10490,1,,31,4,7,2
April Gordon,f84877f1,Agency,Hired,22-06-2022,Failed,18-07-2024,Passed,23-02-2021,Failed,Male,Marketing,Part-time,10-11-2020,Voluntary,,14,71206,17079,1,29-07-2024,73,10,6,15
Rachel Alexander,2e78651e,Agency,New hire,10-10-2020,Failed,20-04-2023,Passed,19-04-2022,Failed,Male,HR,Contract,,Involuntary,Layoff,29,87909,4875,1,,9,10,10,3
Elijah Smith,e916b467,Online Application,Hired,12-03-2022,Failed,18-04-2021,Passed,03-01-2020,Passed,Male,HR,Full-time,26-12-2022,Involuntary,Retirement,18,107988,18462,4,,121,3,6,10
Jason Cannon,09fdc56b,Internal,Hired,11-09-2022,Passed,04-10-2021,Failed,07-12-2023,Passed,Other,Operations,Full-time,10-08-2021,Voluntary,Termination,18,97377,15908,5,,179,3,9,12
Dustin Cook,55f16658,Internal,New hire,05-01-2022,Failed,15-03-2024,Passed,10-09-2023,Passed,Female,HR,Part-time,,Voluntary,,7,113472,9871,5,,102,8,5,3
Leah Gordon,e711cf12,Internal,Hired,28-07-2021,Passed,05-08-2020,Passed,14-08-2024,Passed,Female,HR,Part-time,10-11-2020,Voluntary,Other,9,147221,13195,3,21-05-2024,166,4,2,2
Rick Anderson,8a582de6,Online Application,Hired,01-05-2020,Failed,18-06-2024,Passed,04-03-2021,Passed,Male,Operations,Contract,10-11-2020,Voluntary,Termination,28,69051,11872,3,16-08-2022,92,10,6,6
Mariah Sellers,ffcfcb2b,Agency,Hired,10-03-2024,Passed,23-07-2023,Failed,01-09-2021,Failed,Female,Finance,Contract,22-07-2020,Voluntary,Termination,19,117744,16386,4,,179,8,9,9
Robin Casey,ae5d3cfb,Internal,Hired,12-05-2020,Failed,04-04-2020,Failed,26-01-2024,Failed,Other,Finance,Full-time,,Voluntary,Termination,21,67723,19715,1,,175,6,9,5
Tammy Cook,f921ee27,Online Application,Hired,09-07-2023,Failed,18-06-2021,Passed,20-04-2023,Failed,Female,HR,Contract,10-11-2020,Involuntary,Termination,1,149408,14763,2,23-08-2022,82,10,8,2
Kelly English,708a9ca9,Agency,Hired,25-03-2024,Passed,29-05-2020,Passed,12-03-2021,Passed,Male,Operations,Part-time,,Voluntary,Personal Reasons,10,93052,5608,2,,171,2,3,14
Robin Roberts,8e48f61e,Online Application,Hired,24-08-2021,Passed,11-11-2021,Failed,26-12-2023,Passed,Female,HR,Part-time,08-11-2020,Voluntary,,8,41556,19449,4,,174,8,2,6
Nicholas Newton,f06454c9,Online Application,Hired,14-05-2021,Failed,03-09-2022,Failed,30-04-2023,Failed,Other,IT,Part-time,09-11-2020,,Personal Reasons,26,113309,15065,1,,125,10,1,13
Joyce Case,8fda4c57,Online Application,Hired,14-02-2022,Failed,08-09-2021,Passed,22-02-2022,Passed,Male,Marketing,Full-time,10-11-2020,Involuntary,Termination,16,118384,13121,4,29-08-2022,66,1,4,13
Robert Keith,d438be31,Internal,New hire,19-04-2021,Passed,12-06-2023,Passed,01-01-2021,Passed,Female,Marketing,Part-time,15-11-2023,Involuntary,Personal Reasons,1,98454,15250,1,30-08-2022,149,5,8,10
John Gonzalez,2bf9b681,Agency,Hired,10-10-2020,Failed,26-02-2021,Passed,30-04-2020,Failed,Other,Marketing,Contract,16-11-2023,,Personal Reasons,10,117035,15930,2,31-08-2022,32,3,5,2
Mary Brown,8a6a9db0,Agency,New hire,13-04-2022,Passed,17-02-2020,Passed,20-07-2022,Passed,Female,Sales,Part-time,20-06-2022,Voluntary,Personal Reasons,6,47615,13719,4,01-09-2022,68,3,4,4
Ryan Smith,f761dbf1,Online Application,Hired,09-06-2020,Passed,27-04-2020,Failed,28-08-2022,Passed,Female,Operations,Contract,26-10-2022,Involuntary,Other,25,53657,8803,3,,86,1,8,11
Jenny Patrick,3868effc,Agency,Hired,07-01-2022,Failed,01-09-2022,Failed,14-08-2020,Passed,Other,Marketing,Part-time,27-10-2022,Involuntary,Layoff,19,49546,4661,3,02-03-2022,192,4,3,1
Brendan Stevens,e324266e,Internal,Hired,29-06-2021,Failed,24-01-2021,Failed,22-01-2022,Passed,Male,Finance,Contract,27-02-2024,Involuntary,Other,16,68240,6641,5,03-03-2022,67,5,2,11
Jessica Mendoza,65c2c202,Online Application,Hired,20-04-2023,Passed,25-08-2020,Failed,06-01-2024,Passed,Female,HR,Contract,28-02-2024,Voluntary,Termination,26,129001,13277,4,04-03-2022,33,4,10,8
Sarah Simpson,91b5cc20,Agency,Hired,01-03-2023,Failed,02-03-2021,Passed,19-01-2023,Failed,Female,Sales,Full-time,,Involuntary,Termination,19,135244,16016,1,,189,5,7,5
Stacie Martinez,ef2e94f5,Online Application,Hired,04-11-2021,Passed,13-08-2021,Failed,21-08-2021,Passed,Male,Operations,Contract,10-11-2020,Voluntary,Termination,2,143723,7276,5,13-07-2023,35,5,4,11
Alexis Lucero,be095a2e,Internal,New hire,06-09-2021,Passed,26-05-2024,Passed,19-01-2021,Failed,Male,Marketing,Full-time,10-11-2020,Involuntary,Other,1,49862,5106,4,17-05-2023,96,6,2,6
Jared Harvey,65d4542b,Online Application,Hired,06-12-2022,Passed,13-10-2022,Passed,16-06-2022,Passed,Other,IT,Full-time,10-11-2020,Involuntary,Other,12,64099,5814,4,01-06-2022,197,1,1,13
Jeffrey Richards PhD,133196d1,Agency,New hire,18-07-2020,Passed,19-06-2021,Passed,04-04-2022,Passed,Other,Operations,Contract,10-11-2020,Voluntary,Termination,17,123514,3845,1,29-10-2022,134,2,8,11
Monica Kline,cc156bef,Agency,Hired,14-04-2021,Passed,30-06-2021,Failed,27-09-2021,Passed,Other,IT,Full-time,,Involuntary,Retirement,15,101687,1975,3,,91,1,5,7
Claudia Watson,74d93e0b,Internal,Hired,12-08-2023,Passed,19-06-2022,Failed,16-12-2021,Failed,Male,Finance,Contract,,Involuntary,Retirement,13,46583,12655,5,,138,3,8,15
Vanessa Stewart,c03afee6,Agency,New hire,04-07-2022,Failed,13-12-2023,Passed,29-05-2024,Passed,Male,IT,Contract,10-11-2020,Involuntary,Termination,21,90498,9971,5,21-04-2024,196,5,4,5
David Gibson,8364d939,Internal,Hired,30-05-2021,Failed,27-11-2023,Failed,06-05-2023,Failed,Male,Operations,Full-time,10-11-2020,Involuntary,Retirement,16,47707,3067,1,29-12-2022,162,9,3,12
Cole Perkins,cd2556ab,Online Application,Hired,28-03-2024,Failed,28-01-2021,Failed,31-10-2020,Failed,Other,Finance,Contract,,Voluntary,Personal Reasons,3,77500,3048,2,,47,8,1,12
Ashley Snyder,d36f17de,Agency,Hired,05-12-2020,Failed,06-08-2021,Failed,20-03-2023,Failed,Other,IT,Full-time,21-06-2023,Involuntary,Personal Reasons,22,110383,11310,3,21-05-2021,9,1,4,1
Anthony Williams,10e33342,Online Application,Hired,18-04-2022,Failed,26-10-2022,Failed,27-04-2024,Failed,Male,Operations,Contract,08-02-2021,Voluntary,Layoff,12,87741,7194,3,,44,7,10,0
Douglas Suarez,ceaeb055,Agency,New hire,18-01-2023,Passed,21-04-2021,Failed,13-09-2023,Failed,Other,Sales,Contract,,Involuntary,Termination,14,90286,4930,4,,46,7,5,8
Mary Moore,3c435827,Agency,Hired,16-11-2020,Failed,03-06-2024,Passed,23-04-2023,Failed,Male,Finance,Full-time,,Involuntary,Retirement,6,138891,13763,3,25-12-2023,178,4,10,11
Christopher Mason,0ef8047f,Agency,Hired,03-02-2024,Passed,12-10-2021,Passed,30-07-2022,Passed,Other,Marketing,Contract,10-03-2023,Voluntary,Personal Reasons,7,134269,11343,1,26-12-2023,53,7,5,11
Steven Collins,95b89e31,Online Application,Hired,13-05-2022,Failed,01-12-2023,Failed,18-05-2024,Passed,Female,HR,Full-time,,Voluntary,,19,120823,6997,2,27-12-2023,72,3,7,10
Shannon Murphy,6124683,Internal,Hired,15-01-2022,Passed,20-01-2021,Passed,06-01-2024,Passed,Female,Operations,Contract,,Involuntary,Retirement,30,67439,2507,3,28-12-2023,79,3,9,12
Christina Smith,d3a5fbe1,Agency,Hired,23-05-2022,Passed,10-04-2023,Passed,08-02-2022,Failed,Male,Sales,Full-time,,,Termination,24,76900,3082,1,29-12-2023,78,1,8,2
Ann Smith,5c68eac7,Agency,Hired,30-03-2023,Passed,03-11-2020,Passed,23-09-2022,Passed,Female,Finance,Contract,,Involuntary,,8,51061,1089,2,30-12-2023,143,4,8,2
Andrew Santos,5a53ced7,Internal,Hired,31-05-2020,Failed,02-04-2022,Failed,29-11-2023,Failed,Female,Sales,Part-time,13-10-2022,Involuntary,Layoff,18,104126,10308,2,31-12-2023,52,5,6,2
Ariel Hopkins,11b5ebc7,Online Application,Hired,18-11-2022,Passed,25-05-2023,Passed,03-01-2022,Failed,Other,IT,Contract,26-01-2020,,Termination,26,147632,16873,3,01-01-2024,56,2,8,2
Monica Rodriguez,f4eb148b,Agency,Hired,19-02-2022,Failed,28-10-2020,Passed,03-02-2022,Passed,Other,Marketing,Part-time,,,Layoff,12,79987,11369,1,,9,7,4,10
Sharon Day,c374914b,Internal,Hired,19-08-2022,Passed,22-01-2024,Passed,20-07-2023,Failed,Male,Operations,Part-time,,Involuntary,Termination,24,96123,12255,4,,102,8,1,6
Hunter Diaz,69d30be9,Agency,Hired,16-07-2021,Passed,08-01-2023,Passed,08-06-2021,Failed,Male,IT,Part-time,10-11-2020,Involuntary,,8,135535,13764,4,10-10-2020,39,10,2,6
Austin Davis DDS,a5a4c709,Agency,New hire,18-03-2022,Passed,03-10-2023,Passed,24-11-2021,Failed,Female,Operations,Full-time,,Voluntary,,20,109445,6522,2,,124,1,2,15
Billy Taylor,49c3cc5c,Agency,Hired,12-05-2022,Failed,30-10-2021,Failed,01-09-2024,Passed,Female,Finance,Part-time,30-01-2022,Voluntary,,10,124661,3303,4,,148,6,6,3
Lucas King,81f9c0a1,Internal,Hired,04-04-2020,Failed,20-06-2023,Failed,27-03-2023,Failed,Female,Sales,Full-time,,Involuntary,Personal Reasons,8,61697,6944,2,,19,3,3,2
Joan Graham,ac02866c,Agency,Hired,29-05-2023,Failed,27-07-2023,Passed,12-05-2022,Passed,Other,Marketing,Full-time,10-11-2020,Involuntary,Termination,10,56792,10606,2,24-06-2024,47,4,10,8
Emily Zamora,6100ac63,Online Application,Hired,01-11-2023,Failed,20-06-2022,Passed,02-08-2024,Passed,Female,IT,Full-time,28-06-2023,,,9,137750,2012,5,25-06-2024,174,9,6,15
James Richardson,228edbce,Online Application,New hire,30-10-2021,Failed,15-03-2022,Passed,23-07-2022,Failed,Male,Operations,Part-time,17-06-2020,,,2,142273,13991,4,26-06-2024,167,4,4,14
Kendra Caldwell,7c52b537,Online Application,Hired,02-01-2020,Failed,02-07-2023,Passed,23-03-2024,Passed,Female,Sales,Full-time,,Involuntary,Personal Reasons,29,121601,5590,4,27-06-2024,188,2,8,5
Nina Mercado,583b1d30,Agency,Hired,25-08-2020,Failed,20-04-2020,Failed,12-01-2023,Failed,Other,Finance,Contract,,Involuntary,Layoff,12,72076,1163,5,28-06-2024,116,7,7,12
Richard King,3f640508,Agency,Hired,30-08-2023,Passed,28-05-2023,Passed,10-06-2021,Passed,Other,HR,Full-time,,Involuntary,Retirement,30,59491,7643,4,,47,3,4,1
Dustin Smith,ea523bf9,Online Application,Hired,09-11-2023,Passed,24-04-2024,Failed,12-07-2022,Failed,Other,Finance,Contract,25-08-2021,Involuntary,Termination,7,105493,14105,2,13-06-2022,63,8,8,12
Jasmine Pittman,332de597,Online Application,Hired,27-01-2022,Failed,19-10-2022,Failed,11-01-2020,Failed,Male,Sales,Part-time,,Involuntary,Retirement,8,63437,18695,2,,87,7,4,3
Rebecca Porter,0fd1bc3f,Online Application,New hire,17-05-2023,Failed,20-02-2021,Failed,07-11-2023,Failed,Female,Sales,Full-time,10-11-2020,Voluntary,Other,7,107911,16088,3,02-04-2024,34,7,2,10
Joan Johnson,d8525c94,Online Application,Hired,08-03-2023,Passed,24-10-2023,Failed,16-03-2020,Passed,Other,IT,Contract,10-11-2020,,Retirement,23,132255,18336,3,13-09-2023,175,8,4,1
Joseph Hicks,2d6f830d,Online Application,Hired,15-06-2024,Failed,03-11-2023,Passed,27-10-2022,Failed,Other,HR,Full-time,10-11-2020,Voluntary,Other,24,98173,16017,4,08-09-2023,54,2,10,1
Kevin Conrad,6ba901ca,Online Application,Hired,05-03-2023,Passed,30-04-2020,Failed,19-06-2023,Failed,Female,Finance,Contract,,Involuntary,,26,50697,14444,5,,1,5,2,8
David Schwartz,5534b4a4,Online Application,Hired,16-11-2022,Failed,27-07-2023,Failed,02-07-2020,Failed,Other,IT,Contract,,Involuntary,,9,93157,3764,1,,123,8,10,6
Claudia Ramirez,79b7d1c0,Online Application,Hired,12-01-2020,Failed,12-01-2023,Passed,24-06-2023,Failed,Male,Finance,Part-time,,Involuntary,Layoff,11,49874,15634,4,,190,5,3,15
Holly Carpenter,2034d664,Agency,Hired,12-05-2023,Failed,01-01-2021,Failed,10-10-2022,Failed,Female,HR,Full-time,10-11-2020,Involuntary,Other,16,122471,6650,4,14-07-2021,99,3,9,15
Margaret Larson,9196d7c0,Internal,Hired,31-03-2022,Passed,21-04-2024,Failed,16-03-2020,Failed,Male,Finance,Full-time,,Voluntary,Other,16,98566,12031,5,,81,5,8,3
James Franco,a740ce13,Internal,Hired,15-02-2023,Passed,09-04-2021,Failed,17-02-2020,Passed,Other,IT,Part-time,,Voluntary,Other,10,42316,9045,5,,1,4,1,8
Scott Mejia,47954a48,Internal,Hired,26-07-2024,Passed,28-01-2021,Passed,27-04-2021,Failed,Male,HR,Full-time,05-09-2022,Involuntary,Retirement,19,97679,1039,5,,88,8,4,1
Robert Pena,a3f99c94,Agency,Hired,30-12-2023,Passed,06-09-2021,Failed,19-03-2024,Failed,Male,Marketing,Contract,,Voluntary,Retirement,20,108128,13664,1,,134,2,2,3
Rebecca Trevino,7718d751,Online Application,Hired,07-12-2021,Failed,25-02-2020,Passed,18-02-2023,Passed,Female,IT,Full-time,,Involuntary,Retirement,11,105425,11821,5,,68,6,6,12
Samuel Nelson,3541996d,Online Application,Hired,30-05-2021,Failed,02-03-2024,Failed,03-04-2022,Passed,Other,HR,Part-time,11-06-2020,Voluntary,,18,68394,5518,3,,168,3,5,10
Terry Smith,e15bca69,Agency,Hired,01-03-2023,Passed,20-10-2023,Passed,10-05-2023,Failed,Other,IT,Contract,,Voluntary,,20,116458,10707,2,02-06-2024,63,7,1,8
Jessica Shepherd,8a3bcb1b,Agency,Hired,23-05-2024,Passed,21-12-2022,Failed,24-08-2024,Failed,Male,HR,Part-time,,Involuntary,,13,80211,7041,3,03-06-2024,90,5,5,14
Karen Johnson,77e22d10,Online Application,Hired,18-01-2024,Passed,02-01-2021,Failed,22-11-2021,Failed,Female,IT,Part-time,,Involuntary,Retirement,20,94111,13887,4,04-06-2024,26,3,6,5
John Peters,7eb8a233,Agency,Hired,23-11-2020,Failed,27-02-2020,Passed,16-07-2023,Failed,Other,IT,Contract,,Voluntary,Layoff,4,136170,15637,1,05-06-2024,105,4,2,3
Joshua Schmidt,abc2ce82,Online Application,New hire,16-04-2021,Failed,23-04-2023,Passed,08-09-2020,Failed,Other,Marketing,Contract,05-05-2022,Voluntary,Layoff,23,122565,17270,3,06-06-2024,144,10,10,2
Scott Terry,5cf0a184,Internal,Hired,19-11-2020,Passed,16-04-2022,Failed,17-12-2021,Failed,Male,Marketing,Full-time,,,Layoff,27,59556,13621,4,07-06-2024,193,5,2,11
Mary Roth,2b949715,Agency,New hire,07-09-2020,Failed,16-07-2023,Failed,21-01-2022,Failed,Male,Marketing,Contract,,,Retirement,3,130758,2560,4,08-06-2024,45,5,1,8
Cheryl Baldwin,766225c1,Agency,New hire,19-07-2021,Passed,21-02-2024,Failed,06-07-2020,Failed,Female,Sales,Contract,,Voluntary,Personal Reasons,26,40807,6621,3,09-06-2024,194,3,2,3
Rachel Hill,3f56c4aa,Online Application,Hired,24-09-2023,Passed,08-08-2021,Passed,01-01-2023,Failed,Male,Marketing,Contract,10-07-2021,,Other,3,43046,8598,4,10-06-2024,143,6,9,11
Emily Wood,518f6bfe,Agency,Hired,17-05-2022,Failed,25-09-2020,Failed,14-09-2023,Passed,Female,Sales,Part-time,,Involuntary,Termination,6,128889,17525,1,11-06-2024,162,7,3,8
Trevor Gonzalez,137f6daa,Agency,Hired,10-06-2024,Passed,02-01-2022,Failed,08-05-2021,Failed,Other,Sales,Part-time,,Involuntary,Layoff,23,91722,14016,3,12-06-2024,150,4,2,12
Terry Roberts,8.93E+08,Internal,Hired,10-12-2021,Failed,30-05-2021,Failed,02-09-2023,Passed,Male,Marketing,Part-time,,,,5,64458,19167,1,13-06-2024,87,7,2,0
Melinda Roberts,03ddd2eb,Online Application,New hire,14-09-2021,Failed,25-09-2022,Passed,22-05-2023,Passed,Other,Operations,Part-time,06-09-2021,Involuntary,Other,20,139776,6510,4,14-06-2024,171,7,8,7
Cassie Li,831e6222,Internal,Hired,23-11-2021,Passed,01-01-2021,Failed,14-04-2021,Failed,Other,Finance,Part-time,,,Layoff,13,69388,19697,3,15-06-2024,143,2,4,2
Brad Stanley,c05b68e1,Online Application,Hired,17-06-2020,Passed,04-05-2021,Failed,08-09-2022,Passed,Female,Operations,Contract,,Involuntary,Layoff,30,113215,14225,2,,162,4,10,6
Tracy Lewis,bd8ba241,Online Application,Hired,09-12-2022,Failed,17-06-2020,Failed,20-03-2023,Failed,Female,Operations,Full-time,,Involuntary,Other,24,107526,17355,1,02-08-2024,160,4,6,3
David Rodriguez,57181949,Online Application,Hired,19-07-2021,Passed,20-02-2022,Passed,10-01-2023,Passed,Male,IT,Contract,,Involuntary,,1,50081,3995,3,,28,10,7,2
Anthony Murray,c244ecc3,Online Application,Hired,09-08-2024,Failed,11-07-2020,Passed,30-09-2021,Failed,Female,Marketing,Part-time,26-04-2022,Involuntary,,20,40698,4602,1,10-06-2024,50,7,2,4
Olivia Carroll,fa312c0a,Internal,New hire,28-03-2024,Failed,09-05-2021,Failed,02-07-2020,Passed,Female,HR,Contract,,Voluntary,,18,88446,6387,5,,200,1,3,2
Peggy Cervantes,92b4e060,Agency,Hired,18-02-2024,Passed,29-05-2021,Failed,05-04-2023,Failed,Female,IT,Full-time,,Voluntary,Termination,21,117353,11901,4,,194,5,5,11
Juan Castillo,04ed08df,Internal,Hired,18-12-2021,Failed,24-10-2021,Failed,18-06-2024,Failed,Female,Finance,Contract,,Involuntary,Layoff,24,72888,18683,5,,132,4,2,8
Charles Hart,54d425406,Internal,Hired,09-06-2021,Passed,15-05-2020,Failed,30-08-2021,Passed,Other,Operations,Full-time,18-05-2020,Voluntary,Retirement,9,97184,12299,3,30-11-2022,92,1,10,13
Jennifer Wolfe,f849e32c,Internal,New hire,01-10-2021,Passed,24-08-2022,Failed,27-02-2023,Failed,Other,HR,Contract,,Voluntary,Other,15,137181,9236,1,,197,5,9,6
Michelle Lopez,42907984,Internal,Hired,04-02-2021,Failed,31-05-2020,Failed,26-04-2021,Passed,Other,Operations,Full-time,28-03-2021,Voluntary,Retirement,23,77746,18232,5,,158,8,2,5
Richard Smith,e82bc7eb,Online Application,New hire,31-12-2023,Passed,10-07-2022,Failed,08-02-2024,Passed,Female,Marketing,Contract,18-05-2020,Voluntary,Retirement,24,74326,9670,1,10-08-2023,11,4,6,13
Nicole Olsen,e26e5a9e,Online Application,Hired,30-03-2020,Failed,29-10-2022,Passed,10-08-2020,Failed,Other,HR,Contract,,Voluntary,Other,7,70565,1760,1,,136,5,3,13
Amber Mcintosh,38540bb9,Internal,New hire,27-11-2021,Failed,10-02-2020,Passed,17-11-2020,Passed,Other,Finance,Contract,,Involuntary,Layoff,21,42652,12715,3,,145,9,4,6
Mr. Brian Holden,91c25c66,Agency,Hired,29-06-2023,Failed,21-07-2023,Passed,05-09-2021,Failed,Other,Finance,Full-time,,Voluntary,Other,14,47744,9469,2,,163,4,8,13
Megan Anderson,b306de42,Agency,Hired,25-05-2023,Passed,04-05-2023,Passed,04-04-2021,Passed,Other,Marketing,Full-time,18-05-2020,Voluntary,Termination,21,67886,19806,1,16-04-2023,184,4,2,8
Jacob Blankenship,a90b4faa,Agency,Hired,15-06-2024,Passed,16-09-2021,Passed,15-05-2023,Passed,Male,HR,Part-time,,Involuntary,Personal Reasons,11,118574,8755,1,,28,10,9,2
Mr. Brandon Page,a1618522,Internal,Hired,30-05-2021,Passed,24-11-2021,Failed,01-12-2021,Failed,Male,Sales,Contract,,,,16,102154,2320,1,16-12-2020,93,10,1,8
